"name","type","borough","address","city","zip","lat","lon","license_no"
"Anthonys Hair Studio Ltd","barber","Bronx","2143 Williamsbridge Rd","Bronx","10461","40.85658","-73.85589","BSO-17-00076"
"Anthony's Hair Studio Ltd","salon","Bronx","2143 Williamsbridge Rd","Bronx","10461","40.85658","-73.85589","AEB-16-02017"
"Antonio Hair Studio","salon","Bronx","2380 Arthur Ave","Bronx","10458","40.85505","-73.88805","AEB-20-00570"
"ARICA NAILS SALON INC","salon","Bronx","727 Westchester Ave","Bronx","10455","40.81754","-73.906","AEB-20-00116"
"ARISMENDI I BARBERSHOP & SALON INC.","barber","Bronx","2350 Tiebout Ave","Bronx","10458","40.85812","-73.89646","BSO-22-00309"
"Ariyana Threading & Beauty Salon INC","salon","Bronx","2B Bedford Park Blvd E","Bronx","10468","40.8731","-73.88903","AEB-18-01337"
"ART NAIL SPA","salon","Bronx","305 E 204TH ST","BRONX","10467","40.87291","-73.8785","21AR1444642"
"Artemis Wax Bay Plaza LLC dba European Wax Center","salon","Bronx","2146 Bartow Ave Ste 280D","Bronx","10475","40.86837","-73.82574","AEB-24-02478"
"Artemis Wax dba European Wax Center","salon","Bronx","815 Hutchinson River Pkwy","Bronx","10465","40.82301","-73.83703","AEB-24-02476"
"Assana Nana Benz Inc","salon","Bronx","3927 White Plains Rd","Bronx","10466","40.88655","-73.86118","AEB-24-02843"
"ATLANTIC'O INC","salon","Bronx","20 E Kingsbridge Rd","Bronx","10468","40.86722","-73.89676","AEB-19-02343"
"Atlantik Barbershop LLC","barber","Bronx","3009 Kingsbridge Ter","Bronx","10463","40.87574","-73.90207","BSO-24-00361"
"Atom.Stylez llc","barber","Bronx","1401 Webster Ave","Bronx","10456","40.83632","-73.90738","BSO-26-00226"
"ATOMStylist LLC","salon","Bronx","1967 turnbull ave suite #136","bronx","10473","40.82314","-73.85709","AEB-19-01327"
"Awa Hair Braiding","salon","Bronx","1436 Clay Ave","Bronx","10456","40.83776","-73.90745","AEB-23-01326"
"AYARILIS A MADERA AZCONA","salon","Bronx","1223 Jerome Avenue","Bronx","10452","40.83613","-73.92231","AEB-26-00046"
"AYARILIS A MADERA AZCONA","barber","Bronx","1764 Walton Ave Apt 3G","Bronx","10453","40.84745","-73.91031","BSO-25-00545"
"AYARILIS A. MADERA A.   AYARILIS BARBER SHOP UNISEX","barber","Bronx","1764 Walton Ave Apt 3G","Bronx","10453","40.84745","-73.91031","BSO-25-00015"
"Azerra African Hair Braiding","salon","Bronx","1148 Castle Hill Ave","Bronx","10462","40.83096","-73.85081","AEB-23-00363"
"Azul Hair Salon Unisex Corp","salon","Bronx","1179A Morrison Ave","Bronx","10472","40.82888","-73.87441","AEB-24-02143"
